Business Name,Address,City,Phone Number,Website,Category / Cuisine,Source,Confidence Score (Independent),LastName,Email
Grace The Artist Of Cake,558 Hager Ave Burlington ON L7S 1P5,Guelph,(905) 633-7829,http://www.gracecakes.com/,,YellowPages.ca,1,Unknown36,Unknown36@gmail.com
Cake & Loaf Bakery,212 Homewood Ave Hamilton ON L8P 2M5,Guelph,(289) 389-6581,http://cakeandloaf.ca/,,YellowPages.ca,1,Unknown37,Unknown37@gmail.com
Tung Hing Bakery,103 Queen St N Hamilton ON L8R 2V5,Guelph,(905) 527-8333,http://www.facebook.com/1584271091694443,,YellowPages.ca,1,Unknown38,Unknown38@gmail.com
Queen Cakes by Jhe,901-120 Dundas St E Mississauga ON L5A 1W6,Guelph,(647) 998-1460,http://www.facebook.com/79610,,YellowPages.ca,1,Unknown39,Unknown39@gmail.com
Cakes Of Atlantis,4836 Auckland Ave Mississauga ON L5M 7K3,Guelph,(647) 405-7631,https://www.facebook.com/cakesofatlantis/,,YellowPages.ca,1,Unknown40,Unknown40@gmail.com
Bun Shoppe Bakery,10 King George Rd Main Brantford ON N3R 5J7,Guelph,(519) 756-1121,http://www.ontariotowns.on.ca/bunshoppebakery,,YellowPages.ca,1,Unknown41,Unknown41@gmail.com
Sweets Cupcake Co.,192 Martindale Cres Brampton ON L6X 2V2,Guelph,(416) 826-1793,http://www.facebook.com/1110316125727881,,YellowPages.ca,1,Unknown42,Unknown42@gmail.com
Golden Star Bakery,12570 Kennedy Rd Caledon ON L7C 4C4,Guelph,(905) 843-1999,https://www.facebook.com/goldenstarbakerycaledon/,,YellowPages.ca,1,Unknown43,Unknown43@gmail.com
Sweets by Jody,619 Marley Rd Burlington ON L7T 3R8,Guelph,(905) 630-9441,,,YellowPages.ca,1,Unknown44,Unknown44@gmail.com
Strawberry Shortcake's,3264 Topeka Dr Mississauga ON L5M 7V1,Guelph,(647) 971-2420,https://www.facebook.com/StrawberryShortcakes.bakery/,,YellowPages.ca,1,Unknown45,Unknown45@gmail.com
Butter & Cup & Bakery & Coffee Co,218 Dougall Ave Caledon ON L7C 3T6,Guelph,(905) 846-9222,,,YellowPages.ca,1,Unknown46,Unknown46@gmail.com
Dalia's Cake Shop,3335 Stoney Cres Mississauga ON L5M 0N6,Guelph,(416) 939-7714,,,YellowPages.ca,1,Unknown47,Unknown47@gmail.com
Amici Deli & Bakery,6146 Malden Las ON,Guelph,(519) 734-7444,,,YellowPages.ca,1,Unknown48,Unknown48@gmail.com
COBS Bread,1235 Fairview Street Burlington ON L7S 2K9,Guelph,(905) 639-2727,https://www.cobsbread.com/pages/bakeries/maple-mews-bakery,,YellowPages.ca,1,Unknown49,Unknown49@gmail.com
Rahat Bakers And Sweets Inc,3920 Eglinton Ave W Mississauga ON L5M 2R9,Guelph,(905) 820-1500,,,YellowPages.ca,1,Unknown50,Unknown50@gmail.com
Baker's Dozen Donuts,180 Sandalwood Pky E Brampton ON L6Z 1Y4,Guelph,(905) 846-3461,http://bakersdozendonuts.com/,,YellowPages.ca,1,Unknown51,Unknown51@gmail.com
Manal's Bakery,5371 Tenth Line W Mississauga ON L5M 0V7,Guelph,(226) 792-3599,https://www.facebook.com/ManalsBakery/,,YellowPages.ca,1,Unknown52,Unknown52@gmail.com
Sweetanniebakes,2847 Galleon Cres Mississauga ON L5M 5T9,Guelph,(416) 707-1046,http://www.facebook.com/55184,,YellowPages.ca,1,Unknown53,Unknown53@gmail.com
2 Sweet Chicks,"2617 Windwood Dr, Burlington Mississauga ON L5N 2K6",Guelph,(416) 435-2247,https://www.facebook.com/2-Sweet-Chicks-344439822414705/,,YellowPages.ca,1,Unknown54,Unknown54@gmail.com
Classy & Sweet Cake Designs,6 Ozark Crt Brampton ON L6Y 0L4,Guelph,(416) 473-8887,http://www.classysweetcakedesigns.com/,,YellowPages.ca,1,Unknown55,Unknown55@gmail.com
Vanilla Lane Cupcakes,21 Arizona Dr Brampton ON L6Y 0R6,Guelph,(647) 864-7310,https://www.facebook.com/Vanilla-Lane-Cupcakes-260610287315705/,,YellowPages.ca,1,Unknown56,Unknown56@gmail.com
The Dessert Room,1048 King St W Hamilton ON L8S 1L5,Guelph,(905) 524-2323,http://www.facebook.com/400179543418438,,YellowPages.ca,1,Unknown57,Unknown57@gmail.com
Cupcakes,3-1050 King St W Hamilton ON L8S 1L5,Guelph,(905) 308-8484,http://westdalecupcakes.com/,,YellowPages.ca,1,Unknown58,Unknown58@gmail.com
Butter & Cup Bakery & Coffee Co,218 Dougall Ave Caledon ON L7C 3T6,Guelph,(905) 495-2233,http://www.facebook.com/889841697718762,,YellowPages.ca,1,Unknown59,Unknown59@gmail.com
Katherine Stiner,3002 Preserve Dr Oakville ON L6M 0V2,Guelph,(905) 582-1333,http://www.facebook.com/310890322985537,,YellowPages.ca,1,Unknown60,Unknown60@gmail.com
Mount Sinai Bakery Inc.,3700 Eglinton Ave W Mississauga ON L5M 2R9,Guelph,(905) 569-2600,,,YellowPages.ca,1,Unknown61,Unknown61@gmail.com
Voortman Foundation Ince,4475 North Service Rd Burlington ON L7L 4X7,Guelph,(905) 335-0313,http://www.voortman.com/,,YellowPages.ca,1,Unknown62,Unknown62@gmail.com
Clarke-Rose Carol,5480 Glen Erin Dr Mississauga ON L5M 5R3,Guelph,(905) 817-0700,http://www.LivingInMississauga.ca/,,YellowPages.ca,1,Unknown63,Unknown63@gmail.com
Golden Grains Bakery Cafe & Deli Ltd,389 Main St N Brampton ON L6X 3P1,Guelph,(905) 459-5641,https://goldengrains.ca/,,YellowPages.ca,1,Unknown64,Unknown64@gmail.com
Envy Specialty Cupcakes And Cakes,21 Vinewood Rd Caledon ON L7C 4A9,Guelph,(647) 668-8925,https://www.facebook.com/eNVySpecialtyCupcakesAndCakes/,,YellowPages.ca,1,Unknown65,Unknown65@gmail.com
Freshly Yours Food And Beverage Inc O/A Nestle Toll House Cafe,777 Guelph Line Burlington ON L7R 3N2,Guelph,(905) 639-7279,,,YellowPages.ca,1,Unknown66,Unknown66@gmail.com
Cakery Decor,211-164 Sandalwood Pky E Brampton ON L6Z 4X1,Guelph,(905) 581-7418,,,YellowPages.ca,1,Unknown67,Unknown67@gmail.com
Isogora,803 Golf Links Rd Ancaster ON L9K 1L5,Guelph,(905) 304-4885,,,YellowPages.ca,1,Unknown68,Unknown68@gmail.com
Sherrys Delites,29 Vodden St W Brampton ON L6X 2W6,Guelph,(289) 233-0246,http://www.sherrysdelites.tictail.com/,,YellowPages.ca,1,Unknown69,Unknown69@gmail.com
Armeen's Cake & Bake Shop,2275 Britannia Rd W Mississauga ON L5M 2G6,Guelph,(905) 821-2253,http://www.armeenscakes.com/,,YellowPages.ca,1,Unknown70,Unknown70@gmail.com
SugarPot,5428 Meadowcrest Ave Mississauga ON L5M 0V8,Guelph,(647) 215-3780,http://www.facebook.com/669309679788527,,YellowPages.ca,1,Unknown71,Unknown71@gmail.com
COBS Bread,1187 Wilson Street West Ancaster ON L9G 3K9,Guelph,,https://www.cobsbread.com/local-bakery/trinity-wilson/,,YellowPages.ca,1,Unknown72,Unknown72@gmail.com
Bites Bakery And Coffees Shop,3077 Cabano Cres Mississauga ON L5M 0C6,Guelph,(647) 707-7060,http://www.facebook.com/393505497742964,,YellowPages.ca,1,Unknown73,Unknown73@gmail.com
Azores Bakery,4-5 McMurchy Ave N Brampton ON L6X 2R6,Guelph,(905) 453-1533,https://www.facebook.com/pages/Azores-Bakery/124457207595463,,YellowPages.ca,1,Unknown74,Unknown74@gmail.com
Butter and Spice,Brampton ON L6Z 3P4,Guelph,(647) 981-9012,,,YellowPages.ca,1,Unknown75,Unknown75@gmail.com
Bakerrisk,103-5575 North Service Rd Burlington ON L7L 6M1,Guelph,(289) 288-0100,,,YellowPages.ca,1,Unknown76,Unknown76@gmail.com
Sweetcraft Desserts,792 Brant St Burlington ON L7R 2J2,Guelph,(289) 816-3060,https://www.sweetcraft.ca/,,YellowPages.ca,1,Unknown77,Unknown77@gmail.com
Monastery Bakery & Delicatessen Ltd,1133 Monastery Dr Oakville ON L6M 2A3,Guelph,(905) 847-1020,http://www.monasterybakery.com/,,YellowPages.ca,1,Unknown78,Unknown78@gmail.com
Sweet Canadiantreats,468 Lorne St Burlington ON L7R 2T4,Guelph,(905) 630-3040,https://sweet-canadian-treats.business.site/,,YellowPages.ca,1,Unknown79,Unknown79@gmail.com
Baker Baker,418 John St N Hamilton ON L8L 4R3,Guelph,(905) 577-4706,,,YellowPages.ca,1,Unknown80,Unknown80@gmail.com
Grain Of Salt,18-561 Hespeler Rd Cambridge ON N1R 6J4,Guelph,(519) 653-1600,http://www.welcometograinofsalt.com/,,YellowPages.ca,1,Unknown81,Unknown81@gmail.com
Vijay's Restaurant,380 Weber St W Kitchener ON N2H 4B3,Guelph,(519) 743-6060,http://www.vijaysindiancuisine.com/,,YellowPages.ca,1,Unknown82,Unknown82@gmail.com
Doon Village Indian Bistrobistro,270 Bleams Rd Kitchener ON N2C 2K6,Guelph,(519) 748-0666,,,YellowPages.ca,1,Unknown83,Unknown83@gmail.com
Queen Shawarma Restaurant,4-93 Ontario St S Kitchener ON N2G 1X5,Guelph,(519) 742-2023,,,YellowPages.ca,1,Unknown84,Unknown84@gmail.com
RANGOLI INDIAN RESTAURANT & BAR,"Unit F105, 123 Pioneer Drive Kitchener ON N2P 2A3",Guelph,(365) 998-1007,,,YellowPages.ca,1,Unknown85,Unknown85@gmail.com
Fergus Indian Cuisine,232 St Andrew St W Fergus ON N1M 1N7,Guelph,(519) 787-2304,,,YellowPages.ca,1,Unknown86,Unknown86@gmail.com
Panj Taara Bar & Grill Inc,4355 King St E Kitchener ON N2P 2E9,Guelph,(519) 650-0500,,,YellowPages.ca,1,Unknown87,Unknown87@gmail.com
Biryani Walla,6-383 Elgin St N Cambridge ON N1R 8C1,Guelph,(519) 267-8899,,,YellowPages.ca,1,Unknown88,Unknown88@gmail.com
Dakshin Foods Inc,6-600 Hespeler Rd Cambridge ON N1R 8H2,Guelph,(519) 267-9269,,,YellowPages.ca,1,Unknown89,Unknown89@gmail.com
Fusion Indian Restaurant,96 Gordon St Guelph ON N1H 4H6,Guelph,(519) 265-0999,http://fusionindian.com/,,YellowPages.ca,1,Unknown90,Unknown90@gmail.com
Malwa Meats & Takeout,4-825 Saginaw Pky Cambridge ON N1T 0E2,Guelph,(226) 533-9494,,,YellowPages.ca,1,Unknown91,Unknown91@gmail.com
Royal Paan Cambridge,95 Saginaw Pky Cambridge ON N1T 1W2,Guelph,(519) 267-7226,,,YellowPages.ca,1,Unknown92,Unknown92@gmail.com
Bunty's Indian Cuisine,167 Jolliffe Ave Rr 2 Rockwood ON N0B 2K0,Guelph,(519) 856-9977,,,YellowPages.ca,1,Unknown93,Unknown93@gmail.com
THE Saffron Indian Restaurant,5 Municipal Guelph ON N1G 1G8,Guelph,(519) 767-5676,,,YellowPages.ca,1,Unknown94,Unknown94@gmail.com
Royal Paan Guelph,204 Silvercreek Pky N Guelph ON N1H 7P7,Guelph,(519) 780-0002,,,YellowPages.ca,1,Unknown95,Unknown95@gmail.com
Biryani Delight Inc.,5 Municipal St Guelph ON N1G 1G8,Guelph,(519) 837-3899,,,YellowPages.ca,1,Unknown96,Unknown96@gmail.com
Curry In A Hurry,9 Cork St E Guelph ON N1H 2W7,Guelph,(519) 826-9382,,,YellowPages.ca,1,Unknown97,Unknown97@gmail.com
Classic Indian Restaurant,150 Wissler Rd Waterloo ON N2K 3C6,Guelph,(519) 746-1976,http://classicindiancuisine.com/,,YellowPages.ca,1,Unknown98,Unknown98@gmail.com
Panj Taara,725 Ottawa St S Kitchener ON N2E 3H5,Guelph,(519) 570-3000,,,YellowPages.ca,1,Unknown99,Unknown99@gmail.com
Spice Of India,700 Strasburg Rd Kitchener ON N2E 2M2,Guelph,(519) 742-9000,https://www.facebook.com/spiceindia.ca/,,YellowPages.ca,1,Unknown100,Unknown100@gmail.com
Chopan Kabob,1-200 Highland Rd W Kitchener ON N2M 3C2,Guelph,(519) 954-5144,http://www.chopankabob.ca/,,YellowPages.ca,1,Unknown101,Unknown101@gmail.com
Bombay Chilli,4265 Thomas Alton Blvd Burlington ON L7M 0Z4,Guelph,(905) 315-7000,,,YellowPages.ca,1,Unknown102,Unknown102@gmail.com
Yellow Chili,8B-10635 Creditview Rd Brampton ON L7A 0T4,Guelph,(905) 970-8900,http://www.yellowchilli.ca/,,YellowPages.ca,1,Unknown103,Unknown103@gmail.com
George Jimmy Chachi's Kitchen Inc,1594 Leger Way Milton ON L9E 0B9,Guelph,(289) 270-7007,,,YellowPages.ca,1,Unknown104,Unknown104@gmail.com
Agra Sweets & Tandoori,10671 Chinguacousy Rd Brampton ON L7A 0N5,Guelph,(905) 216-6041,,,YellowPages.ca,1,Unknown105,Unknown105@gmail.com
Milton Halall Meat,810 Nipissing Milton ON L9T 4Z9,Guelph,(905) 693-4890,,,YellowPages.ca,1,Unknown106,Unknown106@gmail.com
Made In India,130 Guelph St Georgetown ON L7G 4A5,Guelph,(905) 702-9304,,,YellowPages.ca,1,Unknown107,Unknown107@gmail.com
The Bombay Grill,4-370 Main St E Milton ON L9T 1P6,Guelph,(905) 878-7575,http://www.bombaygrill.ca/,,YellowPages.ca,1,Unknown108,Unknown108@gmail.com
Rangoli Indian Restaurant,115 Main St S Georgetown ON L7G 3E5,Guelph,(289) 891-9188,https://www.thebridgewood.ca/,,YellowPages.ca,1,Unknown109,Unknown109@gmail.com
Elmira Tandoori Grill,"16 Arthur St S, Main Elmira ON N3B 2M5",Guelph,(519) 210-3333,,,YellowPages.ca,1,Unknown110,Unknown110@gmail.com
Noi Kitchen,5-878 Weber St N Waterloo ON N2V 0H2,Guelph,(647) 389-9389,,,YellowPages.ca,1,Unknown111,Unknown111@gmail.com
Curry In A Hurry,170 University Ave W Waterloo ON N2L 3E9,Guelph,(519) 888-0126,http://www.facebook.com/154839677881889,,YellowPages.ca,1,Unknown112,Unknown112@gmail.com
Kismet Restaurant,160 University Ave W Waterloo ON N2L 3E9,Guelph,(519) 746-8788,http://www.kismetwaterloo.ca/,,YellowPages.ca,1,Unknown113,Unknown113@gmail.com
Mr Bowens Hyderabadi Biryani,324 Highland Rd W Kitchener ON N2M 5G2,Guelph,(519) 721-2622,http://www.facebook.com/3880,,YellowPages.ca,1,Unknown114,Unknown114@gmail.com
Raja Fine Indian Cuisine,725 Belmont Ave W Kitchener ON N2M 1P3,Guelph,(519) 208-2811,https://www.facebook.com/rajakitchaner,,YellowPages.ca,1,Unknown115,Unknown115@gmail.com
Empress Of India,34 King St S Waterloo ON N2J 1N8,Guelph,(519) 883-1314,http://www.empressofindia.ca/,,YellowPages.ca,1,Unknown116,Unknown116@gmail.com
Diwa Classic Indian Cuisine,336 Speedvale Ave W Guelph ON N1H 7M7,Guelph,(519) 826-9711,http://www.diwaindiancuisine.ca/,,YellowPages.ca,1,Unknown117,Unknown117@gmail.com
Bombay Kitchen,105 Macdonell St Guelph ON N1H 2Z7,Guelph,(519) 821-3343,http://www.bombaykitchen.ca/,,YellowPages.ca,1,Unknown118,Unknown118@gmail.com
The Alternative Baker,3015 New St Burlington ON L7R 1K3,Guelph,(905) 407-9307,http://thealternativebaker.weebly.com/,,YellowPages.ca,1,Unknown119,Unknown119@gmail.com
Passions,242A Queen St S Mississauga ON L5M 1L5,Guelph,(905) 285-9929,,,YellowPages.ca,1,Unknown120,Unknown120@gmail.com
Homestead Bakery,298 Brock St Brantford ON N3S 5X9,Guelph,(905) 531-5892,,,YellowPages.ca,1,Unknown121,Unknown121@gmail.com
Craft Me A Cake - Custom Cake Studio,2550 Eglinton Ave W Mississauga ON L5M 0Y2,Guelph,(365) 777-9100,https://www.facebook.com/craftmeacake/,,YellowPages.ca,1,Unknown122,Unknown122@gmail.com
Sweet Tooth Bakery,Hamilton ON L9C 6W6,Guelph,(289) 925-8722,https://www.facebook.com/Sweet-Tooth-Bakery-803934483075932/,,YellowPages.ca,1,Unknown123,Unknown123@gmail.com
1Apex,208 Greencedar Dr Hamilton ON L9C 6W6,Guelph,(905) 308-6957,,,YellowPages.ca,1,Unknown124,Unknown124@gmail.com
Cake & Loaf,35 York Blvd Hamilton ON L8R 3K7,Guelph,(905) 577-9900,http://cakeandloaf.ca/contact/,,YellowPages.ca,1,Unknown125,Unknown125@gmail.com
Hotti Biscotti,142 James St N Hamilton ON L8R 2K7,Guelph,(289) 389-7244,http://www.hottibiscotti.com/,,YellowPages.ca,1,Unknown126,Unknown126@gmail.com
Cake-ish,Mississauga ON L5W 1E5,Guelph,(416) 953-9483,,,YellowPages.ca,1,Unknown127,Unknown127@gmail.com
COBS Bread,489 Broadway Orangeville ON L9W 0A4,Guelph,(519) 938-8889,https://www.cobsbread.com/pages/bakeries/orangeville-bakery,,YellowPages.ca,1,Unknown128,Unknown128@gmail.com
Munchkin Confections,17 Harper Rd Brampton ON L6W 2W3,Guelph,(289) 489-9194,,,YellowPages.ca,1,Unknown129,Unknown129@gmail.com
Caldense Bakery & Pastry,230 James St N Hamilton ON L8R 2L3,Guelph,(905) 296-6064,,,YellowPages.ca,1,Unknown130,Unknown130@gmail.com
Beauty By Styles,2 KingW Hamilton ON L8P 1A1,Guelph,(905) 521-0050,,,YellowPages.ca,1,Unknown131,Unknown131@gmail.com
Bocconcino Bakery And Market,414 Locust St Burlington ON L7S 1T7,Guelph,(905) 333-9063,,,YellowPages.ca,1,Unknown132,Unknown132@gmail.com
Panaderya Bake Shop,275 James St N Hamilton ON L8R 2L4,Guelph,(289) 396-7760,,,YellowPages.ca,1,Unknown133,Unknown133@gmail.com
Kate's Town Talk Bakery,206 Queen St S Mississauga ON L5M 1L3,Guelph,(905) 821-1166,http://www.katestowntalk.ca/,,YellowPages.ca,1,Unknown134,Unknown134@gmail.com
Bomet Polymer,39 Alice St Brantford ON N3R 1Y1,Guelph,(519) 752-0333,,,YellowPages.ca,1,Unknown135,Unknown135@gmail.com
Kelly's Bake Shoppe Inc,401 Brant St Burlington ON L7R 2E9,Guelph,(905) 333-1400,http://www.kellysxo.com/,,YellowPages.ca,1,Unknown136,Unknown136@gmail.com
Ardglen Bakery,85 Clarence St Brampton ON L6W 1S5,Guelph,(905) 455-9021,http://www.facebook.com/pages/Ardglen-Bakery/121215147921532,,YellowPages.ca,1,Unknown137,Unknown137@gmail.com
Pastry Studio Inc,775 pacific road Oakville ON L6L 6M4,Guelph,(800) 881-0302,https://pastrystudio.ca/,,YellowPages.ca,1,Unknown138,Unknown138@gmail.com
Masisseo-Eh Bakery & K-Restaurant Inc,1395 AbbeywoodDr Oakville ON L6M 3B2,Guelph,(905) 825-1061,,,YellowPages.ca,1,Unknown139,Unknown139@gmail.com
Pane Del Sole Italian Bakery,175 John St N Hamilton ON L8L 4P3,Guelph,(905) 529-5619,http://www.panedelsolebakery.com/,,YellowPages.ca,1,Unknown140,Unknown140@gmail.com
Happiness is Sweet,Mississauga ON L5L 4T1,Guelph,(416) 904-3210,,,YellowPages.ca,1,Unknown141,Unknown141@gmail.com
Sweet Life,495 Hansen Rd N Brampton ON L6V 3P6,Guelph,(647) 801-9278,http://www.facebook.com/1805255606404359,,YellowPages.ca,1,Unknown142,Unknown142@gmail.com
Infinity Cookies,6982 Tassel Cres Mississauga ON L5W 1G7,Guelph,(416) 200-8333,,,YellowPages.ca,1,Unknown143,Unknown143@gmail.com
Appeticing Treats,38 Abbey Rd Brampton ON L6W 2T8,Guelph,(647) 808-8960,https://www.facebook.com/Appeticing-Treats-665361103534287/,,YellowPages.ca,1,Unknown144,Unknown144@gmail.com
Dahlia Bakery,2345 Wyecroft Rd Oakville ON L6L 6L8,Guelph,(905) 465-3252,,,YellowPages.ca,1,Unknown145,Unknown145@gmail.com
Abu Bakr A,5955 Creditview Rd Mississauga ON L5V 1N4,Guelph,(905) 363-7522,,,YellowPages.ca,1,Unknown146,Unknown146@gmail.com
Made For You By Madeleine,51 King William St Hamilton ON L8R 1A2,Guelph,(289) 389-5100,http://www.facebook.com/457473197692111,,YellowPages.ca,1,Unknown147,Unknown147@gmail.com
Poppyseed Cakery,78 Ravenswood Dr Brampton ON L6Y 4A1,Guelph,(905) 399-4720,http://poppyseedcakery.ca/,,YellowPages.ca,1,Unknown148,Unknown148@gmail.com
The Honey Badger Bakery,Hamilton ON,Guelph,(289) 441-6687,,,YellowPages.ca,1,Unknown149,Unknown149@gmail.com
Ian Cakery,Hamilton ON,Guelph,(905) 962-7588,,,YellowPages.ca,1,Unknown150,Unknown150@gmail.com
Sweet Nutritionista,247 BRAITHWAITE AVE Ancaster ON L9G 5A7,Guelph,(289) 218-8850,https://sweetnutritionista.com/,,YellowPages.ca,1,Unknown151,Unknown151@gmail.com
Eatana Bakery,1 CahillDr ON,Guelph,(519) 751-7961,,,YellowPages.ca,1,Unknown152,Unknown152@gmail.com
Delicacy Bakery & Fine Foods,Oakville ON,Guelph,(647) 400-6782,,,YellowPages.ca,1,Unknown153,Unknown153@gmail.com
Mmmarvellous Mmmuffins,Shoppers World Brampton ON L6Y 1N7,Guelph,(905) 450-6362,http://www.mmmuffins.com/,,YellowPages.ca,1,Unknown154,Unknown154@gmail.com
Eastway Bake Shoppe,4047 New St Burlington ON L7L 1S8,Guelph,(905) 637-6333,http://eastwaybakeshoppe.placeweb.site/,,YellowPages.ca,1,Unknown155,Unknown155@gmail.com
Bread & Better Bakery,1038 King St W Hamilton ON L8S 1L5,Guelph,(905) 529-5939,,,YellowPages.ca,1,Unknown156,Unknown156@gmail.com
